PrintedFor	PrintedBy	Ignored	Original	count
printed by J.B. for the author, and are to be sold by most booksellers in London and Westminster	NA	NA	printed by J.B. for the author, and are to be sold by most booksellers in London and Westminster	1
printed by H.B. for John Clark at the Harp and Bible in VVest-Smithfield	NA	NA	printed by H.B. for John Clark at the Harp and Bible in VVest-Smithfield	1
Re-printed more exactly then formerly conform to the true copye	NA	NA	Rreprinted more exactly then formerly conform to the true copye	1
printed by Roger Vaughan, dwelling in St. Martins le Grand	NA	NA	printed by Roger Vaughan, dwelling in St. Martins le Grand	1
printed for W. Davies	NA	NA	printed for W. Davies	1
Printed by the heir of Andrew Anderson, printer to his most sacred Majesty	NA	NA	Printed by the heir of Andrew Anderson, printed to his most sacred Majesty	1
printed for William Gay, and are to be sold at his shop in Hosherlane at the signe of the Axe	NA	NA	printed for William Gay, and are to be sold at his shop in Hosherlane at the signe of the Axe	1
printed in Goldsmiths Alley for John Sweeting	NA	NA	printed in Goldsmiths Alley for John Sweeting	1
Printed at Edinburgh. And reprinted at London by George Croom in Thames street	NA	NA	printed in Edinburgh. And reprinted in London by George Croom in Thames street	1
printed for Benj. Alsop at the Angel and Bible in the Poultrey, over against the Stocks-Market	NA	NA	printed for Benj. Alsop at the Angel and Bible in the Poultrey, over against the Stocks-Market	1
printed by F. N[eile]	NA	NA	printed by F. Neile	1
printed for P. B.	NA	NA	printed for P. B	1
printed for Robert Clavel, and are to be sold by John North, bookseller in Dublin	NA	NA	printed for Robert Clavel, and are to be sold by John North, bookseller in Dublin	1
London printed, and re-printed in Dublin, on Cork-Hill	NA	NA	London printed, and reprinted in Dublin, on Cork-Hill	1
Printed by Evan Tyler, printer to the Kings most excellent Maiesty	NA	NA	Printed by Evan Tyler, printed to the Kings most printedllent Maiesty	1
Printed for Edward Blackmore	NA	NA	Printed for Edward Blackmore	1
printed by James and Joseph Moxon. for John Pounset, at the signe of the Hand and Bible, at the lower end of Budg-row, neer Dowgate	NA	NA	printed by James and Joseph Moxon. for John Pounset, at the signe of the Hand and Bible, at the lower end of Budg-row, neer Dowgate	1
printed for Iohn Damm, dwelling in the middle-Rowe in Holborn	NA	NA	printed for Iohn Damm, dwelling in the middle-Rowe in Holborn	1
printed for Thomas Parkhust at the Three Miles and Crown near M[ercers] Chappel	NA	NA	printed for Thomas Parkhust at the Three Miles and Crown near Mercers Chappel	1
printed for William Palmer in Fleet-street	NA	NA	printed for William Palmer in Fleet-street	1
printed for S. Carr	NA	NA	printed for S. Carr	1
printed by J. Wilkins	NA	NA	printed by J. Wilkins	1
by Jacobus Scheltus, ordinary printer of the Kings Majesty	NA	NA	by Jacobus Scheltus, ordinary printed of the Kings Majesty	1
for Francis Cowles	NA	NA	for Francis Cowles	1
printed by W. Bladen	NA	NA	printed by W. Bladen	1
printed by the heirs of Andrew Anderson, printed to his most sacred Majesty	NA	NA	printed by the heirs of Andrew Anderson, printed to his most sacred Majesty	1
Reprinted by Evan Tyler, printer to the Kings most Excellent Majestie	NA	NA	Reprinted by Evan Tyler, printed to the Kings most excllent Majestie	1
printed for Wil. Bias	NA	NA	printed for Wil. Bias	1
printed by J.D. for Awnsham Churchill, at the Black-Swan in Avy-Mary Lane	NA	NA	printed by J.D. for Awnsham Churchill, at the Black-Swan in Avy-Mary Lane	1
printed by T[homas]. R[atcliffe]. and T[homas]. D[aniel]. for Nathaniel Ranew and Jonathan Robinson, at the Angel in Jewen-Street	NA	NA	printed by Thomas. Ratcliffe. and Thomas. Daniel. for Nathaniel Ranew and Jonathan Robinson, at the Angel in Jewen-Street	1
printed by J. Darby, and are to be sold by Richard Chiswel, at the two Angels & Crown in Little Britain	NA	NA	printed by J. Darby, and are to be sold by Richard Chiswel, at the two Angels & Crown in Little Britain	1
printed by C. Bill, H. Hills, and T. Newcomb	NA	NA	printed by C. Bill, H. Hills, and T. Newcomb	1
Printed for the view of all those that desire to see the proceedings in court and countrey	NA	NA	Printed for the view of all those that desire to see the proceedings in court and countrey	1
Ian: 11. London, printed for Robert Wood	Robert Wood	NA	NA	1
printed for W. Weekley, and are to be sold at Ipswich	NA	NA	printed for W. Weekley, and are to be sold at Ipswich	1
printed for John wright, at the Kings Head in the Old Bailey	NA	NA	printed for John wright, at the Kings Head in the Old Bailey	1
pour Jean Cailloüé & Jacques Levi libraires François au Coing de Beauford buildings dans le Strant	NA	NA	pour Jean Cailloüé & Jacques Levi libraires François au Coing de Beauford buildings dans le Strant	1
printed, and are to be sold by D. Browne, at the Black Swan and Bible without Temple-Bar; and Tho. Axe, at the Bleu Ball in Duck-Lane	NA	NA	printed, and are to be sold by D. Browne, at the Black Swan and Bible without Temple-Bar; and Tho. Axe, at the Bleu Ball in Duck-Lane	1
printed by B. Griffin, and are to be sold by Thomas Simmons at the Princes Arms in Ludgate-street, and John Kidgell at the Atlas in Cornhil near the Royal Exchange	NA	NA	printed by B. Griffin, and are to be sold by Thomas Simmons at the Princes Arms in Ludgate-street, and John Kidgell at the Atlas in Cornhil near the Royal excange	1
Printed by T. Forcet, dwelling in Fleet-lane	NA	NA	Printed by T. Forcet, dwelling in Fleet-lane	1
printed by F. Collins, and are to be sold by John Nutt near Stationers-Hall	NA	NA	printed by F. Collins, and are to be sold by John Nutt near Stationers-Hall	1
printed by J. Macock, and are to be sold by H.Herringman, at the Blew-Anchor in the lower walk of the New-Exchange	NA	NA	printed by J. Macock, and are to be sold by H.Herringman, at the Blew-Anchor in the lower walk of the New-excange	1
In the Savoy, printed by Edward Jones, for Thomas Chapman at the Angel in the Pall-mall	NA	Edward Jones	NA	1
for Joh. Bellamie, & Ralph Smith	NA	NA	for Joh. Bellamie, & Ralph Smith	1
printed for the author: and are to be sold by most booksellers in London and Westminster	NA	NA	printed for the author: and are to be sold by most booksellers in London and Westminster	1
printed for R.I. and P.S. and are to be sold by Tho. Brewster at the Three Bibles in Pauls Church-yard, near the west-end	NA	NA	printed for R.I. and P.S. and are to be sold by Tho. Brewster at the Three Bibles in Pauls Church-yard, near the west-end	1
printed for A. Mearne, T. Dring, B. Tooke, T. Sawbridge, and C. Mearne	NA	NA	printed for A. Mearne, T. Dring, B. Tooke, T. Sawbridge, and C. Mearne	1
printed Sam. Briscoe, in Russel-Street, Covent-Garden	NA	NA	printed Sam. Briscoe, in Russel-Street, Covent-Garden	1
printed for John Stephenson, and are to be sold at his shop on Ludgate hill, at the sign of the Sun	NA	NA	printed for John Stephenson, and are to be sold at his shop on Ludgate hill, at the sign of the Sun	1
printer to the Kings most Excellent Majestie: and by the assignes of John Bill	NA	NA	printed to the Kings most excllent Majestie: and by the assignes of John Bill	1
printed for Giles Calvert, and are to be sold at the Black-Spread-Eagle at the west-end of Pauls	NA	NA	printed for Giles Calvert, and are to be sold at the Black-Spread-Eagle at the west-end of Pauls	1
printed by T. Harper for H. Shepheard, and are to be sold by G. Tomlinson, at his shop on Ludgate-hill	NA	NA	printed by T. Harper for H. Shepheard, and are to be sold by G. Tomlinson, at his shop on Ludgate-hill	1
Printed for William Sheers	NA	NA	Printed for William Sheers	1
Printed for T. Powell	NA	NA	Printed for T. Powell	1
printed for William Cademan, in South-wark	NA	NA	printed for William Cademan, in South-wark	1
printed for R. Baldwin in the Old Baily	NA	NA	printed for R. Baldwin in the Old Baily	1
printed by John Wallis, in White Fryars	NA	NA	printed by John Wallis, in White Fryars	1
printed by Benjamin Tooke, printer to the Kings most excellent Majesty, for Samuel Dancer bookseller in Castle-street	NA	NA	printed by Benjamin Tooke, printed to the Kings most printedllent Majesty, for Samuel Dancer bookseller in Castle-street	1
printed by John Crook, printer to the Kings most excellent Majesty: and are to be sold by John North, bookseller in Castle-street	NA	NA	printed by John Crook, printed to the Kings most printedllent Majesty: and are to be sold by John North, bookseller in Castle-street	1
printed and sold by J. Bradford in New-street, without Bishopsgate, near Hand-Alley	NA	NA	printed by J. Bradford in New-street, without Bishopsgate, near Hand-Alley	1
printed and sold by J. Bradford, in New-street, without Bishopsgate, near Hand Ally	NA	NA	printed by J. Bradford, in New-street, without Bishopsgate, near Hand Ally	1
printed for Gideon Andrews	NA	NA	printed for Gideon Andrews	1
printed for the authours widow, by Miles Flesher	NA	NA	printed for the authours widow, by Miles Flesher	1
printed for Abel Swalle, at the Unicorn, at the west end of St. Paul's; and Sam. Tidmarsh at the King's head in Cornhill	NA	NA	printed for Abel Swalle, at the Unicorn, at the west end of St. Paul's; and Sam. Tidmarsh at the King's head in Cornhill	1
printed for William Inghall	NA	NA	printed for William Inghall	1
Printed, by his Majesties command, at Oxford, by Leonard Lichfield printer to the University	NA	NA	Printed, by his Majesties command, at Oxford, by Leonard Lichfield printed to the University	1
Printed for J. Deacon, in Guiltspur-street	NA	NA	Printed for J. Deacon, in Guiltspur-street	1
Printed for C.D.,[1689]	NA	NA	Printed for C.D.,1689	1
Printed by John Wallis in White-Fryars next Fleet-street	NA	NA	Printed by John Wallis in White-Fryars next Fleet-street	1
printed by John Wallis, in White-Fryars	NA	NA	printed by John Wallis, in White-Fryars	1
re-printed by Andrew Crook and Samuel Helsham; assigns of Benj. Tooke; printer to the King's most excellent Majesty	NA	NA	reprinted by Andrew Crook and Samuel Helsham; assigns of Benj. Tooke; printed to the King's most printedllent Majesty	1
printed by Samuel Roycroft, for Richard Blome, dwelling in King-street, by the Chapple or Free-School, near Golden-Square	NA	NA	printed by Samuel Roycroft, for Richard Blome, dwelling in King-street, by the Chapple or Free-School, near Golden-Square	1
printed for, and are to be sold by Randal Taylor near Stationers-Hall	NA	NA	printed for, and are to be sold by Randal Taylor near Stationers-Hall	1
August 19. London printed for Iohn Wright	Iohn Wright	NA	NA	1
printed for R[ichard]. Baldwin, near the Black Bull in the Old-Bailey	NA	NA	printed for Richard. Baldwin, near the Black Bull in the Old-Bailey	1
[by T. Harper] for Nathaniel Butter, at Saint Austins Gate	NA	NA	by T. Harper for Nathaniel Butter, at Saint Austins Gate	1
printed for William Bladen and are to be sold by Michael Sparke Ju. in Green-Arbour at the signe of the Bible	NA	NA	printed for William Bladen and are to be sold by Michael Sparke Ju. in Green-Arbour at the signe of the Bible	1
June 11. London, printed for I. Green and A. Coe	I Green and A Coe	NA	NA	1
printed for Edward Husband printer to the honorable House of Commons	NA	NA	printed for Edward Husband printed to the honorable House of Commons	1
excudebat Tho. Roycroft, prostant apud Guliel. Wells & Rob. Scott, ad insignia principis in vico vulgò vocato Little Britain	NA	NA	printedTho. Roycroft, prostant apud Guliel. Wells & Rob. Scott, ad insignia principis in vico vulgò vocato Little Britain	1
printed by Thomas Fawcet	NA	NA	printed by Thomas Fawcet	1
printed by Charles Bill and the executrix of Thomas Newcomb deceas'd; printers to the Kings most excellent Majesty	NA	NA	printed by Charles Bill and the executrix of Thomas Newcomb deceas'd; printed to the Kings most printedllent Majesty	1
Printed to prevent false copies	NA	NA	Printed to prevent false copies	1
for T.H.	NA	NA	for T.H	1
Printed and sold by Andrew Sowle, at the Crooked-Billet in Holloway-Lane ...	NA	Andrew Sowle	NA	1
printed and sold by Joseph Moxon, on Ludgate hill, right against the Old Baly, at the signe of Atlas	NA	NA	printed by Joseph Moxon, on Ludgate hill, right against the Old Baly, at the signe of Atlas	1
Printed by H. Brugis	NA	NA	Printed by H. Brugis	1
J. Reid?]	NA	NA	J. Reid?	1
London [sic] printed for B. Lyford	B Lyford	NA	NA	1
printed for Tho. Linsey at the Unicorn in he Strand	NA	NA	printed for Tho. Linsey at the Unicorn in he Strand	1
Printed for S. Smith in Fleetstreet	NA	NA	Printed for S. Smith in Fleetstreet	1
printed for Lawrance White in White-cross-Street	NA	NA	printed for Lawrance White in White-cross-Street	1
printed for Edward Thomas, at the Adam and Eve in Little Brittain	NA	NA	printed for Edward Thomas, at the Adam and Eve in Little Brittain	1
printed by F. Leach, for Richard Lownds at the sign of the White Lyon in St. Pauls Church-yard	NA	NA	printed by F. Leach, for Richard Lownds at the sign of the White Lyon in St. Pauls Church-yard	1
Printed for W. Ley and F.I.	NA	NA	Printed for W. Ley and F.I	1
Printed, and sold by Andrew Sowle at the Crooked-Billet in Holloway-Lane in Shoreditch	NA	Andrew Sowle	NA	1
printed by J.G. for John Williams, at the Crown in S. Pauls Church-yard	NA	NA	printed by J.G. for John Williams, at the Crown in S. Pauls Church-yard	1
Printed for Richard Head, at the Signe of the Bible in Little-Brittain	NA	NA	Printed for Richard Head, at the Signe of the Bible in Little-Brittain	1
Printed by H.B. for James Seal, & sold by J. Conyers ...	NA	NA	Printed by H.B. for James Seal, & sold by J. Conyers ..	1
Printed by the Heirs and Successors of Andrew Anderson ...	NA	NA	Printed by the Heirs and Successors of Andrew Anderson ..	1
Printed for Charles Smith ...	NA	NA	Printed for Charles Smith ..	1
First printed at Edinburgh by Evan Tyler ... and re-printed at London by John Dever & Robert Ibbitson, for John Bellamy	NA	NA	First printed in Edinburgh by Evan Tyler ... and reprinted in London by John Dever & Robert Ibbitson, for John Bellamy	1
printed by R. Daniel, for Daniel Pakeman at the Rain-bovv near the Inner Temple gate	NA	NA	printed by R. Daniel, for Daniel Pakeman at the Rain-bovv near the Inner Temple gate	1
Printed for R.I.	NA	NA	Printed for R.I	1
printed by I. Dawks, for Awnsham and John Churchill, at the Black Swan in Pater-noster-Row	NA	NA	printed by I. Dawks, for Awnsham and John Churchill, at the Black Swan in Pater-noster-Row	1
Printed for the author and sold by Benj. Billingsley	NA	Benj Billingsley	NA	1
